REF_ID,GAME_ID,DATA_SOURCE_TYPE,THESIS_TYPE,REF_TAG,AUTH_L_NAME,AUTH_SUFFIX,AUTH_F_NAME,AUTH_M_INIT,AUTH_EMAIL,AUTH_PHONE,AUTH_COUNTRY_CODE,AUTH_NOTES,YEAR_PUB,TITLE_REF,EDITOR_L_NAME,EDITOR_F_NAME,EDITOR_M_INIT,SOURCE_NAME,VOL,NUM,START_PAGE,END_PAGE,DOI,PUB_NAME,PUB_CITY,PUB_STATE,PUB_COUNTRY,UNIV_NAME,UNIV_CITY,UNIV_STATE,UNIV_COUNTRY,NUM_SPECIES_EXAM,REF_NOTES
40c,2633,GR,NA,Christmas et al 1974,Perry,NA,Allison,,NA,NA,NA,NA,1974,Investigations of coastal pelagic fishes,NA,NA,NA,Completion Report,NA,NA,1,90,NA,Gulf Coast Research Laboratory,Ocean Springs,MS,US,NA,NA,NA,NA,7,NA,,,,,,,,
40c,2633,GR,NA,Christmas et al 1974,Waller,NA,Richard,S,NA,NA,NA,NA,1974,Investigations of coastal pelagic fishes,NA,NA,NA,Completion Report,NA,NA,1,90,NA,Gulf Coast Research Laboratory,Ocean Springs,MS,US,NA,NA,NA,NA,7,NA,,,,,,,,
8f,2709,PL,NA,Finucane et al 1990,Finucane,NA,John,H,NA,NA,NA,NA,1990,Diets of young king and Spanish mackerel off the southern United States,NA,NA,NA,Northeast Gulf Science,11,2,145 ,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,,,,,,,,
8f,2709,PL,NA,Finucane et al 1990,Grimes,NA,Churchill,P,NA,NA,NA,NA,1990,Diets of young king and Spanish mackerel off the southern United States,NA,NA,NA,Northeast Gulf Science,11,2,145 ,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,,,,,,,,
8f,2709,PL,NA,Finucane et al 1990,Naughton,NA,Steven,B,NA,NA,NA,NA,1990,Diets of young king and Spanish mackerel off the southern United States,NA,NA,NA,Northeast Gulf Science,11,2,145 ,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,,,,,,,,
5k,2818,GR,NA,Kemp 1949,Kemp,NA,Robert,J,NA,NA,NA,NA,1949," Report on stomach analysis from June 1, 1949 through August 31, 1949",NA,NA,NA,"Annual Report of the Texas Game, Fish and Oyster Commission ",NA,NA,100 ,127,NA,"Texas Game, Fish and Oyster Commission",Austin,TX,US,NA,NA,NA,NA,17,NA,,,,,,,,
10k,2823,GR,NA,Knapp 1948,Knapp,NA,Frank,T,NA,NA,NA,NA,1948,A partial analysis of the Texas menhaden problem with notes on the food of the more important fishes of the Texas gulf coast,NA,NA,NA,"Annual Report of the Texas Game, Fish and Oyster Commission ",NA,NA,42 ,60,NA,"Texas Game, Fish and Oyster Commission",Austin,TX,US,NA,NA,NA,NA,34,NA,,,,,,,,
46m,2920,T,MS,Miles 1949,Miles,NA,Dewey,W,NA,NA,NA,NA,1949,A study of the food habits of the fish of the Aransas Bay area,NA,NA,NA,NA,NA,NA,1,70,NA,NA,NA,NA,NA,University of Houston,Houston,Texas,United States,23,NA,,,,,,,,
6p,2973,T,BS,Peleaz Rodriguez 1996,Peleaz Rodriguez,NA,Edgar,NA,NA,NA,NA,NA,1996,"Relaciones de ecológicas los peces ictiófagos demersales de la zona de pesca comercial de camarón de Alvarado, Ver",NA,NA,NA,NA,NA,NA,1,84,NA,NA,NA,NA,NA,"Universidad Nacional Autonoma de Mexico, ENEP-Iztacala",Mexico City,Distrito Federal,Mexico,14,"In Spanish. See Paleaz-Rodriguez et al.,  2005 for a peer-reviewed manuscript (English) that has the data more aggregated.",,,,,,,,
11r,3012,GR,NA,Robinson 1948,Robinson,NA,L,N,NA,NA,NA,NA,1948,Report on the menhaden investigation,NA,NA,NA,"Annual Report of the Texas Game, Fish and Oyster Commission ",NA,NA,37 ,39,NA,"Texas Game, Fish and Oyster Commission",Austin,TX,US,NA,NA,NA,NA,15,NA,,,,,,,,
6s,3042,GR,NA,Saloman and Naughton 1983,Saloman,NA,Carl,H,NA,NA,NA,NA,1983,"Food of king mackerel, Scomberomorus cavalla, from the southeastern United States including the Gulf of Mexico",NA,NA,NA,NOAA Technical Memorandum,NA,NMFS-SEFC-126,1,25,NA,"National Marine Fisheries Service, National Oceanic and Atmospheric Administration, US Department of Commerce","Washington, DC",NA,US,NA,NA,NA,NA,1,"See Browder et al., 1990 for a summary of these data along with that of several other publications.",,,,,,,,
6s,3042,GR,NA,Saloman and Naughton 1983,Naughton,NA,Steven,P,NA,NA,NA,NA,1983,"Food of king mackerel, Scomberomorus cavalla, from the southeastern United States including the Gulf of Mexico",NA,NA,NA,NOAA Technical Memorandum,NA,NMFS-SEFC-126,1,25,NA,"National Marine Fisheries Service, National Oceanic and Atmospheric Administration, US Department of Commerce","Washington, DC",NA,US,NA,NA,NA,NA,1,"See Browder et al., 1990 for a summary of these data along with that of several other publications.",,,,,,,,
11v,3147,CR,NA,Vick 1964,Vick,NA,N,G,NA,NA,NA,NA,1964,"The marine ichthyofauna of St. Andrew Bay, Florida, and nearshore habitats of the northeastern Gulf of Mexico",Gaul,R,D,Texas A&M Research Foundation Project 286 D,NA,NA,1,77,NA,"Department of Oceanography and Meteorology, Texas A&M University",College Station,TX,US,NA,NA,NA,NA,5,NA,,,,,,,,
19l,3247,GR,NA,Linton 1907,Linton,NA,Edwin,NA,NA,NA,NA,NA,1907,"Preliminary report on animal parasites collected at Tortugas, Florida, June 30 to July 18, 1906",NA,NA,NA,Year Book,NA,5,112 ,118,NA,Carnegie Institution,"Washington, DC",,US,NA,NA,NA,NA,27,"Same data appears in Linton 1908 and Linton 1910, Simons et al. (unpublished manuscript).",,,,,,,,
6v,3142,T,PhD,Vega-Cendejas 1998,Vega-Cendejas,NA,Maria,E,maruvega@mda.cinvestav.mx,NA,NA,NA,1998,Trama trófica de la comunidad nectónica asociada al ecosistema de manglar en el litoral norte de Yucatán,NA,NA,NA,NA,NA,NA,1,170,NA,NA,NA,NA,NA,Universidad Nacional Autónoma de Mexico,Mexico City,Distrito Federal,Mexico,31,In Spanish.,,,,,,,,
6y,3171,T,BS,Yepez-Dominguez 2003,Yepez-Dominguez,NA,Everlin,NA,NA,NA,NA,NA,2003,"Analisis de las relaciones tróficas del gremio planctófago en la comunidad ictica de la zona litoral de playa Barrancas, Mpio. de Alvarado, Veracruz",NA,NA,NA,NA,NA,NA,1,48,NA,NA,NA,NA,NA,Universidad Nacional Autónoma de Mexico,Mexico City,Distrito Federal,Mexico,6,In Spanish.,,,,,,,,
33f,,DB,NA,McMichael,McMichael,Jr.,Robert,H,bob.mcmichael@myfwc.com,NA,NA,NA,2012,Florida Marine Fisheries Trophic Database,NA,NA,NA,Florida Fish and Wildlife Research Institute,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
30l,2862,GR,NA,Longley and Hildebrand 1941,Longley,NA,William,H,NA,NA,NA,NA,1941,Systematic catalog of the fishes of Tortugas Florida. ,NA,NA,NA,Papers from Tortugas Laboratory,XXXIV,535,1,331,NA,Carnegie Institution,"Washington, DC",NA,US,NA,NA,NA,NA,56,NA,,,,,,,,
30l,2862,GR,NA,Longley and Hildebrand 1941,Hildebrand,NA,Samuel,F,NA,NA,NA,NA,1941,Systematic catalog of the fishes of Tortugas Florida. ,NA,NA,NA,Papers from Tortugas Laboratory,XXXIV,535,1,331,NA,Carnegie Institution,"Washington, DC",NA,US,NA,NA,NA,NA,56,NA,,,,,,,,
14a,2519,T,BS,Alarcon Sosa 2007,Alarcon Sosa,NA,Adlemy,C,NA,NA,NA,NA,2007,"Aspectos tróficos de la ictiofauna de la laguna de Sontecomapan, Ver. Durante la temporada de secas del 2005. ",NA,NA,NA,NA,NA,NA,1,75,NA,NA,NA,NA,NA,"Universidad Nacional Autónoma de Mexico, FES-Iztacala",Mexico City,Distrito Federal,Mexico,35,In Spanish.,,,,,,,,
58m,2931,T,BS,Montalvo Campos 2001,Montalvo Campos,NA,Francisco,A,NA,NA,NA,NA,2001,Analisis comparativo de las relaciones tróficas de algunas especies de la familia Carangidae en el Bayo Veracruz. ,NA,NA,NA,NA,NA,NA,1,51,NA,NA,NA,NA,NA,"Universidad Nacional Autónoma de Mexico, FES-Iztacala",Mexico City,Distrito Federal,Mexico,2,In Spanish.,,,,,,,,
1p,2968,T,BS,Padilla Mancera 2005,Padilla Mancera,NA,Karla,N,NA,NA,NA,NA,2005,"Comparacion de las dietas de peces ictiofagos de las Barrancas Mpio. de Alvarado, Veracruz.",NA,NA,NA,NA,NA,NA,1,34,NA,NA,NA,NA,NA,"Universidad Nacional Autonoma de Mexico, FES-Iztacala",Mexico City,Distrito Federal,Mexico,25,In Spanish.,,,,,,,,
2p,2969,T,MS,Palacios Sanchez 2001,Palacios Sanchez,NA,Sonia,E,NA,NA,NA,NA,2001,Estructura y función de la comunidad íctica en dos sistemas costeros del Estado de Tabasco impactados por petróleo,NA,NA,NA,NA,NA,NA,1,142,NA,NA,NA,NA,NA,Centro de Investigacion y de Estudios Avanzados del IPN,Merida,Yucatan,Mexico,22,In Spanish.,,,,,,,,
12r,3013,T,BS,Rodriguez Perez 1990,Rodriguez Perez,NA,Armando,NA,NA,NA,NA,NA,1990,"Estudio de la alimentacion de la ictiofauna del sistema estuarino de Tecolutla, Veracruz, Mexico. ",NA,NA,NA,NA,NA,NA,1,102,NA,NA,NA,NA,NA,"Universidad Nacional Autónoma de Mexico, ENEP-Iztacala",Mexico City,Distrito Federal,Mexico,35,In Spanish.,,,,,,,,
25s,3061,T,MS,Seagle 1969,Seagle,NA,James,H,NA,NA,NA,NA,1969,"Predator-prey relationships in turtle grass (Thalassia testudinum Konig) beds in Redfish Bay, Texas. ",NA,NA,NA,NA,NA,NA,1,117,NA,NA,NA,NA,NA,Texas A&I University,Kingsville,Texas,United States,41,NA,,,,,,,,
17t,3133,PL,NA,Torruco and Gonzalez 1994,Torruco,NA,Daniel,NA,NA,NA,NA,NA,1994,"Estructura tróficas de la comunidad de peces en el litoral frente a Laguna Verde, Veracruz, México.",NA,NA,NA,Avicennia,2,NA,33 ,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,In Spanish. See Torruco et al. 2007 for details on sampling schedule and numbers of fishes caught.,,,,,,,,
17t,3133,PL,NA,Torruco and Gonzalez 1994,Gonzalez,NA,Alicia,NA,NA,NA,NA,NA,1994,"Estructura tróficas de la comunidad de peces en el litoral frente a Laguna Verde, Veracruz, México.",NA,NA,NA,Avicennia,2,NA,33 ,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,In Spanish. See Torruco et al. 2007 for details on sampling schedule and numbers of fishes caught.,,,,,,,,
15s,3051,T,PhD,Sanchez-Ramirez 1997,Sanchez-Ramirez,NA,Marina,NA,NA,NA,NA,NA,1997,"Alimentacion, crecimiento y mortalidad de larvas de Chloroscombrus chrysurus (Pisces: Carangidae), en el sur del Golfo de Mexico",NA,NA,NA,NA,NA,NA,1,85,NA,NA,NA,NA,NA,"Universidad Nacional Autonoma de Mexico, Facultad de Ciencias",Mexico City,Distrito Federal,Mexico,1,In Spanish. See Sanchez-Ramirez 2003 for peer reviewed article (in English) reporting the same data.,,,,,,,,
12c,2604,PL,NA,Carr and Adams 1973,Carr,NA,William,E S,NA,NA,NA,NA,1973,"Food habits of juvenile marine fishes occupying seagrass beds in the estuarine zone near Crystal River, Florida.",NA,NA,NA,Transactions of the American Fisheries Society,102,3,511,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,,,,,,,,
12c,2604,PL,NA,Carr and Adams 1973,Adams,NA,Clayton,A,NA,NA,NA,NA,1973,"Food habits of juvenile marine fishes occupying seagrass beds in the estuarine zone near Crystal River, Florida.",NA,NA,NA,Transactions of the American Fisheries Society,102,3,511,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,,,,,,,,
16r,3017,T  ,PhD  ,Rogers 1977,Rogers,Jr.,Robert,M,NA,NA,NA,NA,1977,Trophic interrelationships of selected fishes on the continental shelf of the northern Gulf of Mexico,NA,NA,NA,,,NA,1,244,NA,NA,NA,NA,NA,Texas A&M University,College Station,TX,US,26,NA
24d,2689,PL,NA,Divita et al 1983,Divita,NA,Regina,NA,NA,NA,NA,NA,1983,"Foods of coastal fishes during brown shrimp Penaeus aztecus, migration from Texas estuaries (June - July 1981). ",NA,NA,NA,Fisheries Bulletin,81,2,396,404,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA
24d,2689,PL,NA,Divita et al 1983,Creel,NA,Mischelle,NA,NA,NA,NA,NA,1983,"Foods of coastal fishes during brown shrimp Penaeus aztecus, migration from Texas estuaries (June - July 1981). ",NA,NA,NA,Fisheries Bulletin,81,2,396,404,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA
24d,2689,PL,NA,Divita et al 1983,Sheridan,NA,Peter,F,NA,NA,NA,NA,1983,"Foods of coastal fishes during brown shrimp Penaeus aztecus, migration from Texas estuaries (June - July 1981). ",NA,NA,NA,Fisheries Bulletin,81,2,396,404,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA
17b,2550,GR,NA,Beaumariage 1973,Beaumariage,NA,Dale,S,NA,NA,NA,NA,1973,"Age, growth, and reproduction of king mackerel, Scomberomorus cavalla, in Florida.  ",NA,NA,NA,Florida Marine Research Publications,NA,1,1,45,NA,"Marine Research Laboratory, Florida Department of Natural Resources",St. Petersburg,FL,US,NA,NA,NA,NA,1,NA
61b,3196,CR,NA,Blanton et al 1972,Blanton,NA,William,G,NA,NA,NA,NA,1972,The ecological impact of mercury discharge on an enclosed secondary bay,NA,NA,NA,Environment Monitors,NA,NA,1,231,NA,Texas Wesleyan College,Ft. Worth,TX,US,NA,NA,NA,NA,19,NA
61b,3196,CR,NA,Blanton et al 1972,Blanton,NA,Carolyn,J,NA,NA,NA,NA,1972,The ecological impact of mercury discharge on an enclosed secondary bay,NA,NA,NA,Environment Monitors,NA,NA,1,231,NA,Texas Wesleyan College,Ft. Worth,TX,US,NA,NA,NA,NA,19,NA
61b,3196,CR,NA,Blanton et al 1972,Robinson,NA,Michael,C,NA,NA,NA,NA,1972,The ecological impact of mercury discharge on an enclosed secondary bay,NA,NA,NA,Environment Monitors,NA,NA,1,231,NA,Texas Wesleyan College,Ft. Worth,TX,US,NA,NA,NA,NA,19,NA
16b,2549,PL,NA,Baughman and Springer 1950,Baughman,NA,J,L,NA,NA,NA,NA,1950,"Biological and Economic Notes on the Sharks of the Gulf of Mexico, With Especial Reference to Those of Texas, and With a Key for their Identification",NA,NA,NA,The American Midland Naturalist,44,1,96,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA
16b,2549,PL,NA,Baughman and Springer 1950,Springer,NA,Stewart,NA,NA,NA,NA,NA,1950,"Biological and Economic Notes on the Sharks of the Gulf of Mexico, With Especial Reference to Those of Texas, and With a Key for their Identification",NA,NA,NA,The American Midland Naturalist,44,1,96,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA
47b,2581,PL,NA,Breuer 1957,Breuer,NA,Joseph,P,NA,NA,NA,NA,1957,"An Ecological Survey of Baffin and Alazan Bays, Texas",NA,NA,NA,Marine Fisheries Division,NA,NA,134,155,NA, Texas Game and Fish Commission,Austin,TX,NA,NA,NA,NA,NA,3,NA
46b,2580,GR,NA,Breuer 1949,Breuer,NA,Joseph,P,NA,NA,NA,NA,1949,"A Report on the Effects of Port Arthur Menhaden Fishery on Food and Game Fish for the Period of June6, to September 9, 1949, Inclusive",NA,NA,NA,"Annual Report of the Game, Fish and Oyster Commission",NA,NA,84,92,NA, Texas Game and Fish Commission,Austin,TX,NA,NA,NA,NA,NA,6,NA
43c,2636,PL,NA,Clark and von Schmidt 1965,Clark,NA,Eugenie,NA,NA,NA,NA,NA,1965,Sharks of the Central Gulf Coast of Florida,NA,NA,NA,Bulletin of Marine Science,15,1,13,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA
43c,2636,PL,NA,Clark and von Schmidt 1965,von Schmidt,NA,Catherine,NA,NA,NA,NA,NA,1965,Sharks of the Central Gulf Coast of Florida,NA,NA,NA,Bulletin of Marine Science,15,1,13,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA
22g,2751,PL,NA,Govoni et al 1983,Govoni,NA,John,J,NA,NA,NA,NA,1983,"Comparative feeding of three species of larval fishes in the Nothern Gulf of Mexico: Brevoortia patronus, Leiostomus xanthurus, and Micropogon undulatus",NA,NA,NA,Marine Ecology - Progress Series,13,NA,189,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
22g,2751,PL,NA,Govoni et al 1983,Hoss,NA,Donald,l,NA,NA,NA,NA,1983,"Comparative feeding of three species of larval fishes in the Nothern Gulf of Mexico: Brevoortia patronus, Leiostomus xanthurus, and Micropogon undulatus",NA,NA,NA,Marine Ecology - Progress Series,13,NA,189,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
22g,2751,PL,NA,Govoni et al 1983,Chester,NA,Alexander,J,NA,NA,NA,NA,1983,"Comparative feeding of three species of larval fishes in the Nothern Gulf of Mexico: Brevoortia patronus, Leiostomus xanthurus, and Micropogon undulatus",NA,NA,NA,Marine Ecology - Progress Series,13,NA,189,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
11m,2885,PL,NA,Manooch et al 1985,Manooch ,III,Charles,S,NA,NA,NA,NA,1985,Foods of Little Tunny Euthynnus alletteralus Collected along the Southeastern and Gulf Coasts of the United States.,NA,NA,NA,Bulletin of the Japenese Society of Scientific Fisheries,51,8,1207,1218,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
11m,2885,PL,NA,Manooch et al 1985,Mason,NA,Diane,L,NA,NA,NA,NA,1985,Foods of Little Tunny Euthynnus alletteralus Collected along the Southeastern and Gulf Coasts of the United States.,NA,NA,NA,Bulletin of the Japenese Society of Scientific Fisheries,51,8,1207,1218,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
11m,2885,PL,NA,Manooch et al 1985,Nelson,NA,Russell,S,NA,NA,NA,NA,1985,Foods of Little Tunny Euthynnus alletteralus Collected along the Southeastern and Gulf Coasts of the United States.,NA,NA,NA,Bulletin of the Japenese Society of Scientific Fisheries,51,8,1207,1218,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
7m,2881,PL,NA,Manooch and Mason 1983,Manooch ,III,Charles,S,NA,NA,NA,NA,1983,"Comparative Food Studies of Yellowfin Tuna, Thunnus albacares, and Blackfin Tuna, Thunnus atlanticus, (Pisces: Scombridae) from the Southeastern and Gulf Coast of the United States",NA,NA,NA,Acta Ichthyologica Et Piscatoria,8,2,25,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
7m,2881,PL,NA,Manooch and Mason 1983,Mason,NA,Diane,L,NA,NA,NA,NA,1983,"Comparative Food Studies of Yellowfin Tuna, Thunnus albacares, and Blackfin Tuna, Thunnus atlanticus, (Pisces: Scombridae) from the Southeastern and Gulf Coast of the United States",NA,NA,NA,Acta Ichthyologica Et Piscatoria,8,2,25,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
48s,3083,PL,NA,Springer 1938,Springer,NA,Stewart,NA,NA,NA,NA,NA,1938,Notes on the Sharks of Florida,NA,NA,NA,Proceedings of the Florida Academy of Sciences,,NA,9,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA
28f,8524,GR,NA,Fotheringham 1977,Fotheringham,NA,Nick,NA,NA,NA,NA,NA,1977,Effects of Offshore Oil Field Structures on Their Biotic Environment: Benthos and Plankton,Klima,Edward,F,"Environmental Assessment of an Active Oil Field in the Northwestern Gulf of Mexico, 1976-1977  ",NA,NA,487,548,NA,"Galveston Laboratory, National Marine Fisheries Service, Southeast Fisheries Center",NA,NA,NA,NA,NA,NA,NA,27,NA
36c,2629,PL,NA,Chen et al 1992,Chen,NA,Weihzong,NA,NA,NA,NA,NA,1992,Comparison of Feeding and Growth of Larval Round Herring Etrumeus teres and Gulf Menhaden Brevoortia patronus,NA,NA,NA,Fishery Bulletin,90,1,183,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
36c,2629,PL,NA,Chen et al 1992,Govoni,NA,John,J,NA,NA,NA,NA,1992,Comparison of Feeding and Growth of Larval Round Herring Etrumeus teres and Gulf Menhaden Brevoortia patronus,NA,NA,NA,Fishery Bulletin,90,1,183,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
36c,2629,PL,NA,Chen et al 1992,Warlen,NA,Stanley,M,NA,NA,NA,NA,1992,Comparison of Feeding and Growth of Larval Round Herring Etrumeus teres and Gulf Menhaden Brevoortia patronus,NA,NA,NA,Fishery Bulletin,90,1,183,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
28c,2621,T,MS,Cave 1978,Cave,NA,R,Neil,NA,NA,NA,NA,1978,"Predator-prey Relationships Involving the American Oyster, Crassostrea virginica (Gemlin), and the Black Drum Pogonias cromis (Linnaeus), in Mississippi Sound",NA,NA,NA,NA,NA,NA,1,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
16m,2890,T,MS,Martin 1979,Martin,NA,Joe,H,NA,NA,NA,NA,1979,"A Study of the Feeding Habits of the Black Drum (Pogonius cromis Linnaeus) in Alazan Bay the Laguna Salada, Texas",NA,NA,NA,NA,NA,NA,1,102,NA,NA,NA,NA,NA,Texas A&I University,Kingsville,TX,US,1,NA
17r,3018,GR,NA,Rogillio 1975,Rogillio,NA,Howard,E,NA,NA,NA,NA,1975,An estuarine sportfish study in Southeast Louisiana ,NA,NA,NA,Fisheries Bulletin,NA,14,1,71,NA,Louisana Wildlife and Fisheries Commission,New Orleans,LA,US,NA,NA,NA,NA,5,NA
18c,2610,PL,NA,Castillo-Geniz et al 1998,Castillo-Geniz,NA,J,L,NA,NA,NA,NA,1998,The Mexican artisanal shark fishery in the Gulf of mexico: towards a regulated fishery,NA,NA,NA,Marine and Freshwater Research,49,NA,611,621,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
18c,2610,PL,NA,Castillo-Geniz et al 1998,Marquez-Farias,NA,J,F,NA,NA,NA,NA,1998,The Mexican artisanal shark fishery in the Gulf of mexico: towards a regulated fishery,NA,NA,NA,Marine and Freshwater Research,49,NA,611,621,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
18c,2610,PL,NA,Castillo-Geniz et al 1998,Rodriguez de la Cruz,NA,M,C,NA,NA,NA,NA,1998,The Mexican artisanal shark fishery in the Gulf of mexico: towards a regulated fishery,NA,NA,NA,Marine and Freshwater Research,49,NA,611,621,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
18c,2610,PL,NA,Castillo-Geniz et al 1998,Crortes,NA,E,NA,NA,NA,NA,NA,1998,The Mexican artisanal shark fishery in the Gulf of mexico: towards a regulated fishery,NA,NA,NA,Marine and Freshwater Research,49,NA,611,621,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
18c,2610,PL,NA,Castillo-Geniz et al 1998,Cid del Prado,NA,E,NA,NA,NA,NA,NA,1998,The Mexican artisanal shark fishery in the Gulf of mexico: towards a regulated fishery,NA,NA,NA,Marine and Freshwater Research,49,NA,611,621,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
30p,2996,GR,NA,Pullen 1962,Pullen,NA,E,J,NA,NA,NA,NA,1962,A study of the fishes of upper Galveston Bay,NA,NA,NA,Marine Fisheries Division,NA,NA,1,21,NA,Texas Game and Fish Commisson Marine Laboratory,Rockport,TX,US,NA,NA,NA,NA,11,NA
20d,2685,PL,NA,Diener et al 1974,Diener,NA,Richard ,A,NA,NA,NA,NA,1974,"Stomach Contents of Fishes from Clear Lake and Tributary Waters, A Texas Estuarine Area",NA,NA,NA,Contributions in Marine Science,18,NA,7,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,"Contribution #375, National Marine Fisheries Service, Gulf Coastal Fisheries Center, Galveston Laboratory, Galveston, Texas 77550"
