DATA_ID,COLL_METHOD,GEAR_NOTES,COLL_NOTES,FIELD_PRES_METH_TYPE,FIELD_PRES_CHEM,FIELD_CHEM_PCT,FIELD_PRES_PHYS_METH,FIELD_PRES_NOTES,LAB_PRES_METH_TYPE,LAB_PRES_CHEM,LAB_CHEM_PCT,LAB_PRES_PHYS_METH,LAB_PRES_NOTES,DIET_ANALYSIS_METHODS,BASIS_OF_PREY_ID,DIET_NOTES,ENTRY_DATE,ENTRY_PERSON,EDITED_DATE,DATA_EDITOR,MODIFY_DATE,DATA_MODIFIER
ACT_43B,sport fishermen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/11/2013,Theresa Mitchell,29/01/2014,Theresa Mitchell,15/06/2016,Theresa Mitchell
ACT_43B,commercial fishermen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/11/2013,Theresa Mitchell,29/01/2014,Theresa Mitchell,15/06/2016,Theresa Mitchell
ACT_46B,Purse Seine,"Seine Net is 16,000 meshes long and 1,000 meshes wide.  Completed, the net is 1,125 ft (342.9 m) long and 85 ft (25.908 m) deep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19/09/2012,Theresa Mitchell,25/01/2013,Theresa Mitchell,15/06/2016,Theresa Mitchell
ACT_47B,trout lines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19/09/2012,Theresa Mitchell,25/01/2013,Theresa Mitchell,15/06/2016,Theresa Mitchell
ACT_47B,rod and reel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19/09/2012,Theresa Mitchell,25/01/2013,Theresa Mitchell,15/06/2016,Theresa Mitchell
ACT_47B,Stretched gill nets,"3, 4  and 5 in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19/09/2012,Theresa Mitchell,25/01/2013,Theresa Mitchell,15/06/2016,Theresa Mitchell
ACT_47B,Creel catch,Catch done by sports fisherman and commercial fisherman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19/09/2012,Theresa Mitchell,25/01/2013,Theresa Mitchell,15/06/2016,Theresa Mitchell
ACT_48B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19/09/2012,Theresa Mitchell,25/01/2013,Theresa Mitchell,15/06/2016,Theresa Mitchell
ACT_51B,Issacs Kidd Mid-water trawl,NA,NA,chemical,formalin,10,NA,digestive tract contents were preserved in 70% ethyl alcohol,NA,NA,NA,NA,NA,NA,NA,NA,20/09/2012,Amanda Yzaguirre,NA,Amanda Yzaguirre,15/06/2016,Theresa Mitchell
ACT_51B,Benthic Skimmer,NA,NA,chemical,formalin,10,NA,digestive tract contents were preserved in 70% ethyl alcohol,NA,NA,NA,NA,NA,NA,NA,NA,20/09/2012,Amanda Yzaguirre,NA,Amanda Yzaguirre,15/06/2016,Theresa Mitchell
ACT_58B,anglers on partyboats,NA,"Sampled dockside at Johns Pass , Pinellas County, FL. Aperiodic sampling was carried out from May 1978 to July 1992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31/03/2014,Theresa Mitchell,01/08/2014,Theresa Mitchell,15/06/2016,Theresa Mitchell
ACT_59B,Trynet,20 ft. (6.1 m),NA,NA,NA,NA,NA,50% isopropanol for storage,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taylor Magnum,NA,Jim Simons,15/06/2016,Theresa Mitchell
ACT_59B,rectangular box dredge,36 in. (0.9 m),NA,chemical,formalin,10,NA,50% isopropanol for storage,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taylor Magnum,NA,Jim Simons,15/06/2016,Theresa Mitchell
ACT_59B,balloon type otter trawl,45 ft. (13.7 m),NA,chemical,formalin,10,NA,50% isopropanol for storage,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taylor Magnum,NA,Jim Simons,15/06/2016,Theresa Mitchell
ACT_59B, traps,"3 types: angular wooden, square wooden, heart shaped wire",NA,chemical,formalin,10,NA,50% isopropanol for storage,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taylor Magnum,NA,Jim Simons,15/06/2016,Theresa Mitchell
ACT_59B,rotenone,SCUBA divers used to collect,NA,chemical,formalin,10,NA,50% isopropanol for storage,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taylor Magnum,NA,Jim Simons,15/06/2016,Theresa Mitchell
ACT_59B,hook and line,NA,NA,chemical,formalin,10,NA,50% isopropanol for storage,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taylor Magnum,NA,Jim Simons,15/06/2016,Theresa Mitchell
ACT_59B,Trynet,20 ft. (6.1 m),NA,chemical,formalin,10,NA,50% isopropanol for storage,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taylor Magnum,NA,Jim Simons,15/06/2016,Theresa Mitchell
ACT_59B,rectangular box dredge,36 in. (0.9 m),NA,chemical,formalin,10,NA,50% isopropanol for storage,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taylor Magnum,NA,Jim Simons,15/06/2016,Theresa Mitchell
ACT_59B,balloon type otter trawl,45 ft. (13.7 m),NA,chemical,formalin,10,NA,50% isopropanol for storage,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taylor Magnum,NA,Jim Simons,15/06/2016,Theresa Mitchell
ACT_59B, traps,"3 types: angular wooden, square wooden, heart shaped wire",NA,chemical,formalin,10,NA,50% isopropanol for storage,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taylor Magnum,NA,Jim Simons,15/06/2016,Theresa Mitchell
ACT_59B,rotenone,SCUBA divers used to collect,NA,chemical,formalin,10,NA,50% isopropanol for storage,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taylor Magnum,NA,Jim Simons,15/06/2016,Theresa Mitchell
ACT_59B,hook and line,NA,NA,chemical,formalin,10,NA,50% isopropanol for storage,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taylor Magnum,NA,Jim Simons,15/06/2016,Theresa Mitchell
ACT_61B,hook and line,NA,Collected at 1971 Texas International Fishing Tournament,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jim Simons,NA,Jim Simons,15/06/2016,Theresa Mitchell
ACT_2C,baited hooks,NA,"In fishing, baited hooks are suspended approximately one to three feet above the sea floor. Once a fish is caught and hauled onto the deck, it is unhooked by inserting a short pole into the gape and allowing the line to coil around it. A sudden thrust extracts the hook. The fish are drawn, but the viscera and the blood are not always entirelyremoved or is the fish rinsed off properly.",physical,NA,NA,NA,"Icing takes place within 2 hours of the time the fish are caught. The fish are placed on ice with their drawn sides down, to permit drainage. Ice separates each layer of fish; the top layer is more hevily iced.",NA,NA,NA,NA,NA,NA,NA,NA,14/11/2013,Theresa Mitchell,29/01/2014,Theresa Mitchell,15/06/2016,Theresa Mitchell
ACT_2C,hand lines,NA,NA,physical,NA,NA,NA,"Icing takes place within 2 hours of the time the fish are caught. The fish are placed on ice with their drawn sides down, to permit drainage. Ice separates each layer of fish; the top layer is more hevily iced.",NA,NA,NA,NA,NA,NA,NA,NA,14/11/2013,Theresa Mitchell,29/01/2014,Theresa Mitchell,15/06/2016,Theresa Mitchell
ACT_12C,bag seine,15 by 1.8 m constructed of 9.6 mm stretch mesh netting,NA,chemical,formalin,20,NA,NA,chemical,isopropyl alcohol,75,NA,NA,NA,NA,NA,NA,Jim Simons,NA,Jim Simons,15/06/2016,Theresa Mitchell
ACT_12C,cast net,1.5 m constructed of 12.7 mm stretch mesh netting,NA,chemical,formalin,20,NA,NA,chemical,isopropyl alcohol,75,NA,NA,NA,NA,NA,NA,Jim Simons,NA,Jim Simons,15/06/2016,Theresa Mitchell
ACT_18C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/10/2012,Amanda Yzaguirre,NA,Amanda Yzaguirre,15/06/2016,Theresa Mitchell
ACT_18C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/10/2012,Amanda Yzaguirre,NA,Amanda Yzaguirre,15/06/2016,Theresa Mitchell
ACT_18C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/10/2012,Amanda Yzaguirre,NA,Amanda Yzaguirre,15/06/2016,Theresa Mitchell
ACT_18C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/10/2012,Amanda Yzaguirre,NA,Amanda Yzaguirre,15/06/2016,Theresa Mitchell
ACT_18C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/10/2012,Amanda Yzaguirre,NA,Amanda Yzaguirre,15/06/2016,Theresa Mitchell
ACT_28C,NA,stomach-content analysis were performed using drum that were caught by local fishermen and those turned in at rodeos along the Mississippi Gulf coast.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/10/2012,Theresa Mitchell,25/01/2013,Theresa Mitchell,15/06/2016,Theresa Mitchell
ACT_36C,multiple opening/closing net and environmental sensing system - MOCNESS,"Three stations were occupied, one each at the 18, 91, and 183m isobaths along three transects (off Cape San Blas, FL; off the Mississippi Delta, LA; and off Galveston Bay, TX).",NA,chemical,formalin,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/10/2012,Theresa Mitchell,25/01/2013,Theresa Mitchell,15/06/2016,Theresa Mitchell
ACT_36C,multiple opening/closing net and environmental sensing system - MOCNESS,"Three stations were occupied, one each at the 18, 91, and 183m isobaths along three transects (off Cape San Blas, FL; off the Mississippi Delta, LA; and off Galveston Bay, TX).",NA,chemical,ethanol,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/10/2012,Theresa Mitchell,25/01/2013,Theresa Mitchell,15/06/2016,Theresa Mitchell
ACT_36C,multiple opening/closing net and environmental sensing system - MOCNESS,"Three stations were occupied, one each at the 18, 91, and 183m isobaths along three transects (off Cape San Blas, FL; off the Mississippi Delta, LA; and off Galveston Bay, TX).",NA,chemical,formalin,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/10/2012,Theresa Mitchell,25/01/2013,Theresa Mitchell,15/06/2016,Theresa Mitchell
ACT_36C,multiple opening/closing net and environmental sensing system - MOCNESS,"Three stations were occupied, one each at the 18, 91, and 183m isobaths along three transects (off Cape San Blas, FL; off the Mississippi Delta, LA; and off Galveston Bay, TX).",NA,chemical,ethanol,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/10/2012,Theresa Mitchell,25/01/2013,Theresa Mitchell,15/06/2016,Theresa Mitchell
ACT_36C,multiple opening/closing net and environmental sensing system - MOCNESS,"Three stations were occupied, one each at the 18, 91, and 183m isobaths along three transects (off Cape San Blas, FL; off the Mississippi Delta, LA; and off Galveston Bay, TX).",NA,chemical,formalin,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/10/2012,Theresa Mitchell,25/01/2013,Theresa Mitchell,15/06/2016,Theresa Mitchell
ACT_36C,multiple opening/closing net and environmental sensing system - MOCNESS,"Three stations were occupied, one each at the 18, 91, and 183m isobaths along three transects (off Cape San Blas, FL; off the Mississippi Delta, LA; and off Galveston Bay, TX).",NA,chemical,ethanol,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/10/2012,Theresa Mitchell,25/01/2013,Theresa Mitchell,15/06/2016,Theresa Mitchell
ACT_37C,Trawl,10 foot trawl,Sampling time was usually 5 minutes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27/09/2012,Debra Hoekel,NA,Theresa Mitchell,15/06/2016,Theresa Mitchell
ACT_38C,Trammel net,600 feet by 4 feet deep of 2 1/2 stretch mesh nets were used to collect fish for tagging.  ,"The ""strike"" method used for obtaining fish.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27/09/2012,Debra Hoekel,NA,Theresa Mitchell,15/06/2016,Theresa Mitchell
ACT_40C,hook and line,NA,NA,preserved (method not specified),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jim Simons,NA,Jim Simons,15/06/2016,Theresa Mitchell
ACT_40C,midwater trawl,NA,NA,preserved (method not specified),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jim Simons,NA,Jim Simons,15/06/2016,Theresa Mitchell
ACT_40C,gill net,NA,NA,preserved (method not specified),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jim Simons,NA,Jim Simons,15/06/2016,Theresa Mitchell
ACT_40C,nekton net,NA,NA,preserved (method not specified),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jim Simons,NA,Jim Simons,15/06/2016,Theresa Mitchell
ACT_40C,plankton net,NA,NA,preserved (method not specified),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jim Simons,NA,Jim Simons,15/06/2016,Theresa Mitchell
ACT_43C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21/09/2012,Theresa Mitchell,25/01/2013,Theresa Mitchell,15/06/2016,Theresa Mitchell
ACT_43C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21/09/2012,Theresa Mitchell,25/01/2013,Theresa Mitchell,15/06/2016,Theresa Mitchell
ACT_4D,Trawls,Injections of Alkaline formalin method (borax solution) into the lumen shortly after capture was proven ineffective  and was abandoned. ,NA,chemical,Alkaline formalin,NA,NA,Perserved shortly after capture,NA,NA,NA,NA,NA,NA,NA,NA,08/11/2012,Amanda Yzaguirre,NA,Amanda Yzaguirre,15/06/2016,Theresa Mitchell
ACT_4D,Seines,Injections of Alkaline formalin method (borax solution) into the lumen shortly after capture was proven ineffective  and was abandoned. ,NA,chemical,Alkaline formalin,NA,NA,Perserved shortly after capture,NA,NA,NA,NA,NA,NA,NA,NA,08/11/2012,Amanda Yzaguirre,NA,Amanda Yzaguirre,15/06/2016,Theresa Mitchell
ACT_10D,hook and line,caught by sport fishermen,NA,chemical,formalin,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16/10/2012,Theresa Mitchell,25/01/2013,Theresa Mitchell,15/06/2016,Theresa Mitchell
ACT_10D,hook and line,caught by sport fishermen,NA,chemical,formalin,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16/10/2012,Theresa Mitchell,25/01/2013,Theresa Mitchell,15/06/2016,Theresa Mitchell
ACT_12D,Trawl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27/09/2012,Debra Hoekel,NA,Theresa Mitchell,15/06/2016,Theresa Mitchell
ACT_12D,Trammel Net,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27/09/2012,Debra Hoekel,NA,Theresa Mitchell,15/06/2016,Theresa Mitchell
ACT_12D,Seine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27/09/2012,Debra Hoekel,NA,Theresa Mitchell,15/06/2016,Theresa Mitchell
ACT_12D,Hook and line,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27/09/2012,Debra Hoekel,NA,Theresa Mitchell,15/06/2016,Theresa Mitchell
ACT_12D,Push Net,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27/09/2012,Debra Hoekel,NA,Theresa Mitchell,15/06/2016,Theresa Mitchell
ACT_20D,trawl,"Fishes were collected from the Clear Lake area and its tributaries with a 3m otter  trawl. A 6mm bar mesh cover was used over the cod end or the trawl during some of the sampling to capture post larval fish, many of which were less than 15mm in length. The larger bar of mesh of the trawl  19mm and 13 mm in the body and length . The larger bar of mesh of trawl, 19 mm and 13mm in the body and cod end, respectively, permitted many of the smaller fish to escape when the cover was not used.",NA,physical,NA,NA,ice,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/09/2012,Michael Zotarelli,30/01/2013,Theresa Mitchell,15/06/2016,Theresa Mitchell
ACT_20D,trawl,"Fishes were collected from the Clear Lake area and its tributaries with a 3m otter  trawl. A 6mm bar mesh cover was used over the cod end or the trawl during some of the sampling to capture post larval fish, many of which were less than 15mm in length. The larger bar of mesh of the trawl  19mm and 13 mm in the body and length . The larger bar of mesh of trawl, 19 mm and 13mm in the body and cod end, respectively, permitted many of the smaller fish to escape when the cover was not used.",NA,physical,NA,NA,ice,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/09/2012,Michael Zotarelli,30/01/2013,Theresa Mitchell,15/06/2016,Theresa Mitchell
ACT_23D,trawl,NA,NA,chemical,formalin,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/09/2012,Theresa Mitchell,25/01/2013,Theresa Mitchell,15/06/2016,Theresa Mitchell
ACT_23D,trawl,NA,NA,chemical,formalin,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/09/2012,Theresa Mitchell,25/01/2013,Theresa Mitchell,15/06/2016,Theresa Mitchell
ACT_24D,trawl,"12.2 meter semiballon, rigged with tickler chain, 2.4 m by 1.0 m wooden doors.",Towed at 3 knots. All trawls made at night.,physical,NA,NA,freezer,NA,NA,NA,NA,NA,NA,NA,NA,NA,02/09/2014,Theresa Mitchell,NA,Theresa Mitchell,15/06/2016,Theresa Mitchell
ACT_42D,gillnet,"186 m long monofiliment net, comprised of 6 panels of stretch mesh, ranging from sizes 7.6 to 14.0 cm in steps of 1.3 cm.",30 minute soak,chemical,glutaraldehyde,2,NA,NA,physical,NA,NA,frozen,frozen at -20°C until analysis,"5 fish from each sampling event were chosen at random. The contents of the entire GI were extruded and collected in a 25 mL scintillation and preserved in a 2% Glutaraldehyde solution and kept refrigerated until analsis. Initally, 1.0 mL of the gut contents solution was put separately into different Petri dishes and diluted with water until the bottom of the dish was covered. The sample matter was allowed  to settle for 20 minutes and then inspected at 20X and 40X magnifications.",NA,NA,23/06/2014,Theresa Mitchell,NA,Theresa Mitchell,15/06/2016,Theresa Mitchell
ACT_42D,gillnet,"186 m long monofiliment net, comprised of 6 panels of stretch mesh, ranging from sizes 7.6 to 14.0 cm in steps of 1.3 cm.",30 minute soak,physical,NA,NA,ice-water,NA,physical,NA,NA,frozen,frozen at -20°C until analysis,"5 fish from each sampling event were chosen at random. The contents of the entire GI were extruded and collected in a 25 mL scintillation and preserved in a 2% Glutaraldehyde solution and kept refrigerated until analsis. Initally, 1.0 mL of the gut contents solution was put separately into different Petri dishes and diluted with water until the bottom of the dish was covered. The sample matter was allowed  to settle for 20 minutes and then inspected at 20X and 40X magnifications.",NA,NA,23/06/2014,Theresa Mitchell,NA,Theresa Mitchell,15/06/2016,Theresa Mitchell
ACT_42D,castnet,1.83 m diameter with 0.95 cm mesh,"After net was deployed, whole water samples were taken  by placing a clean 2.0 liter Nalgene bottle in the surface water",chemical,glutaraldehyde,2,NA,NA,physical,NA,NA,frozen,frozen at -20°C until analysis,"5 fish from each sampling event were chosen at random. The contents of the entire GI were extruded and collected in a 25 mL scintillation and preserved in a 2% Glutaraldehyde solution and kept refrigerated until analsis. Initally, 1.0 mL of the gut contents solution was put separately into different Petri dishes and diluted with water until the bottom of the dish was covered. The sample matter was allowed  to settle for 20 minutes and then inspected at 20X and 40X magnifications.",NA,NA,23/06/2014,Theresa Mitchell,NA,Theresa Mitchell,15/06/2016,Theresa Mitchell
ACT_42D,castnet,1.83 m diameter with 0.95 cm mesh,"After net was deployed, whole water samples were taken  by placing a clean 2.0 liter Nalgene bottle in the surface water",physical,NA,NA,ice-water,NA,physical,NA,NA,frozen,frozen at -20°C until analysis,"5 fish from each sampling event were chosen at random. The contents of the entire GI were extruded and collected in a 25 mL scintillation and preserved in a 2% Glutaraldehyde solution and kept refrigerated until analsis. Initally, 1.0 mL of the gut contents solution was put separately into different Petri dishes and diluted with water until the bottom of the dish was covered. The sample matter was allowed  to settle for 20 minutes and then inspected at 20X and 40X magnifications.",NA,NA,23/06/2014,Theresa Mitchell,NA,Theresa Mitchell,15/06/2016,Theresa Mitchell
ACT_4F,NA,NA,"Field work was conducted from a small outboard boat. A systematic sampling survey, consisting of several passes through the 2m wide study transect, was made on eight occasions between August, 1970 and July, 1971. Studies on food habits of the red snapper, Lutjanus campechanus (Poey), were conducted by James K. Davis concurrently with the present study.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17/11/2013,Theresa Mitchell,22/02/2014,Theresa Mitchell,15/06/2016,Theresa Mitchell
ACT_8F,nueston net,NA,1985; larvae and post larvae collections,chemical,formalin,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jim Simons,NA,Jim Simons,15/06/2016,Theresa Mitchell
ACT_8F,bongo net,NA,1985; larvae and post larvae collections,chemical,formalin,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jim Simons,NA,Jim Simons,15/06/2016,Theresa Mitchell
ACT_8F,nueston net,NA,1986; larvae and post larvae collections,chemical,ethanol,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jim Simons,NA,Jim Simons,15/06/2016,Theresa Mitchell
ACT_8F,bongo net,NA,1986; larvae and post larvae collections,chemical,ethanol,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jim Simons,NA,Jim Simons,15/06/2016,Theresa Mitchell
ACT_8F,shrimp trawl,NA,"1985-1987, in US waters; juvenile collections",physical,NA,NA,frozen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jim Simons,NA,Jim Simons,15/06/2016,Theresa Mitchell
ACT_8F,almadrabas ,NA,"1983, in Mexico; juvenile collections",chemical,formalin,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jim Simons,NA,Jim Simons,15/06/2016,Theresa Mitchell
ACT_11F,trammel nets,"Sport fish and other fin-fishes were sampled with the 200 yard trammel net (5 feet deep, 1 1/4 inch mesh square, 2 1/2 inch mesh stretched) from five areas in the Biloxi Marsh. ",NA,chemical,formalin,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21/10/2012,Theresa Mitchell,25/01/2013,Theresa Mitchell,15/06/2016,Theresa Mitchell
ACT_11F,trammel nets,"Sport fish and other fin-fishes were sampled with the 200 yard trammel net (5 feet deep, 1 1/4 inch mesh square, 2 1/2 inch mesh stretched) from five areas in the Biloxi Marsh. ",NA,chemical,formalin,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21/10/2012,Theresa Mitchell,25/01/2013,Theresa Mitchell,15/06/2016,Theresa Mitchell
ACT_28F,spear,NA,NA,physical,NA,NA,freezer,NA,NA,NA,NA,NA,NA,NA,NA,NA,02/10/2012,Theresa Mitchell,25/01/2013,Theresa Mitchell,15/06/2016,Theresa Mitchell
ACT_28F,spear,NA,NA,chemical,formalin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,02/10/2012,Theresa Mitchell,25/01/2013,Theresa Mitchell,15/06/2016,Theresa Mitchell
